Code,displ,country,tushare-code,cat,DBFile,TblName
000561.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000563.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000564.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000565.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000566.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000567.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000568.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000570.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000571.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000572.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000573.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000576.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000581.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
000582.SZ,,CHN,,,D:\PythonSpace\Dasboard_Quant\00_database\MyQuantCN00.db,STOCKS_CN00
